iter	RMSE
0	77736.76361
1	75521.29797
2	73295.61217
3	71261.00089
4	69207.47914
5	67397.75113
6	65457.48162
7	63695.38544
8	61993.03229
9	60269.37402
10	58755.65522
11	57287.68816
12	55882.71563
13	54635.91849
14	53387.04166
15	52063.93067
16	51068.49289
17	50021.21988
18	48907.55901
19	47929.35482
20	46968.45713
21	45961.39437
22	45135.29556
23	44322.92569
24	43495.24171
25	42743.55577
26	42070.99414
27	41300.86003
28	40671.0403
29	40005.85758
30	39389.6014
31	38855.51996
32	38274.01694
33	37756.24672
34	37213.86278
35	36770.09615
36	36314.50451
37	35863.64813
38	35558.78516
39	35144.96229
40	34759.8412
41	34438.31449
42	34152.89554
43	33824.46795
44	33521.86988
45	33199.8014
46	32882.37528
47	32634.75777
48	32348.65134
49	32049.4844
50	31858.20798
51	31630.48812
52	31395.0775
53	31156.69615
54	30932.36949
55	30714.29662
56	30480.93545
57	30286.83853
58	30031.68336
59	29858.04593
60	29717.64857
61	29495.85249
62	29309.18511
63	29122.70716
64	28953.26858
65	28804.96703
66	28658.5872
67	28478.51967
68	28318.60539
69	28208.58912
70	28108.79012
71	27997.546
72	27865.80515
73	27773.10047
74	27679.29486
75	27590.81087
76	27475.15824
77	27400.15446
78	27289.11829
79	27200.01211
80	27078.39068
81	27013.90591
82	26935.49207
83	26843.63771
84	26770.27323
85	26659.78757
86	26567.65218
87	26479.3767
88	26390.14916
89	26307.00646
90	26268.77108
91	26203.94776
92	26118.2894
93	26041.32023
94	25979.00475
95	25913.21057
96	25803.0384
97	25733.2109
98	25659.26588
99	25559.58925
100	25532.73833
101	25449.44328
102	25415.94175
103	25347.2917
104	25296.7062
105	25277.30439
106	25259.62801
107	25210.63403
108	25180.30906
109	25118.39298
110	25027.70443
111	24985.26979
112	24930.59032
113	24882.76092
114	24811.93838
115	24763.08779
116	24686.27053
117	24608.3944
118	24545.36108
119	24467.75806
120	24408.57318
121	24368.23797
122	24298.73427
123	24237.29512
124	24203.41884
125	24167.49662
126	24114.87464
127	24051.90166
128	24021.42612
129	23933.68042
130	23904.00613
131	23835.87298
132	23792.91335
133	23783.9325
134	23776.58792
135	23735.73749
136	23693.64222
137	23659.55537
138	23651.19411
139	23646.64002
140	23631.97948
141	23613.58799
142	23579.5719
143	23559.15281
144	23472.40292
145	23443.0522
146	23388.72796
147	23321.38723
148	23295.91123
149	23262.18939
150	23232.35246
151	23212.48134
152	23171.77093
153	23130.57816
154	23075.05869
155	23071.25921
156	23019.35383
157	22988.40488
158	22960.34041
159	22900.79692
160	22844.16461
161	22787.93353
162	22751.54389
163	22705.97731
164	22640.9996
165	22601.60224
166	22552.01824
167	22528.18111
168	22510.47606
169	22427.36727
170	22409.32618
171	22383.46285
172	22354.0761
173	22313.03864
174	22298.17176
175	22262.90004
176	22251.25582
177	22211.50122
178	22166.68185
179	22113.13733
180	22070.81057
181	22066.96986
182	22037.52511
183	22024.55668
184	21988.64093
185	21973.66413
186	21940.02387
187	21908.25261
188	21892.04463
189	21886.51968
190	21855.82147
191	21843.54764
192	21825.4252
193	21783.55523
194	21773.45339
195	21744.4208
196	21721.87766
197	21678.36698
198	21604.57817
199	21538.37929
200	21528.74154
201	21505.78999
202	21450.22239
203	21428.35683
204	21407.63147
205	21360.01168
206	21343.70259
207	21324.11836
208	21298.24947
209	21259.4337
210	21233.2446
211	21189.99893
212	21146.54261
213	21139.87465
214	21124.40342
215	21100.32389
216	21094.14894
217	21076.98032
218	21073.95696
219	21071.11694
220	21069.03632
221	21022.19828
222	21011.68591
223	20958.24776
224	20926.39815
225	20912.9879
226	20874.64184
227	20858.73926
228	20806.84334
229	20799.3079
230	20784.38299
231	20731.61435
232	20708.45294
233	20698.92478
234	20696.04544
235	20691.73106
236	20652.41716
237	20649.97634
238	20598.27928
239	20566.55796
240	20558.85177
241	20535.13174
242	20504.88772
243	20450.7865
244	20366.14184
245	20360.37832
246	20333.78822
247	20319.48392
248	20285.97148
249	20276.40164
250	20246.40975
251	20215.43496
252	20206.50643
253	20156.03587
254	20116.32287
255	20067.87096
256	20059.74395
257	20011.02558
258	19985.06575
259	19953.85616
260	19933.76986
261	19900.84462
262	19888.78211
263	19863.78463
264	19842.92681
265	19840.42086
266	19839.12361
267	19805.20136
268	19769.23184
269	19757.22616
270	19746.48189
271	19738.25018
272	19725.28166
273	19712.47168
274	19696.43401
275	19657.47246
276	19641.37418
277	19621.8237
278	19585.96737
279	19555.70275
280	19552.62158
281	19514.27316
282	19473.80346
283	19464.39968
284	19430.43444
285	19405.06181
286	19354.81525
287	19352.26646
288	19336.76908
289	19312.9447
290	19283.35591
291	19281.48681
292	19238.61016
293	19237.09058
294	19213.63748
295	19194.858
296	19175.49667
297	19120.74257
298	19115.39786
299	19072.00731
300	19041.75455
301	18989.93142
302	18967.43058
303	18956.41886
304	18953.18009
305	18928.99436
306	18897.68465
307	18835.79885
308	18800.03719
309	18781.48773
310	18749.51618
311	18741.93127
312	18733.0033
313	18695.076
314	18691.36979
315	18656.99743
316	18624.09442
317	18615.21596
318	18603.26928
319	18594.40918
320	18576.77451
321	18555.76975
322	18521.29884
323	18496.65509
324	18468.20542
325	18461.42584
326	18439.60982
327	18411.4719
328	18376.25684
329	18374.19025
330	18370.72922
331	18361.98755
332	18360.36508
333	18336.09396
334	18303.57035
335	18288.67685
336	18267.03972
337	18236.46733
338	18200.43529
339	18167.77082
340	18126.10591
341	18124.58216
342	18114.94707
343	18106.99595
344	18090.60417
345	18067.6547
346	18045.37402
347	18019.98641
348	18015.77365
349	18007.97947
350	17965.6302
351	17947.55513
352	17930.98082
353	17930.44047
354	17926.61165
355	17908.79914
356	17897.76122
357	17889.36199
358	17863.95686
359	17844.23992
360	17825.52562
361	17770.65934
362	17733.01941
363	17714.45196
364	17704.42154
365	17649.81283
366	17610.02296
367	17600.79626
368	17579.80877
369	17571.45152
370	17568.63863
371	17566.62593
372	17544.35766
373	17540.71698
374	17525.28578
375	17491.03854
376	17471.56851
377	17460.18294
378	17437.34758
379	17421.12495
380	17413.25617
381	17388.41894
382	17376.52058
383	17354.28648
384	17323.96431
385	17293.36966
386	17287.34554
387	17262.79911
388	17248.8918
389	17240.93288
390	17226.62738
391	17218.64881
392	17201.46412
393	17200.23757
394	17192.93956
395	17188.81658
396	17174.37664
397	17153.7221
398	17151.42306
399	17133.57761
400	17100.5499
401	17089.18827
402	17077.68499
403	17044.02968
404	17012.33671
405	17011.21386
406	16987.63255
407	16986.44325
408	16961.25933
409	16937.35598
410	16936.43923
411	16931.56756
412	16899.89372
413	16890.3876
414	16865.35244
415	16843.67091
416	16826.41564
417	16814.66202
418	16805.8435
419	16776.17135
420	16756.29994
421	16737.99253
422	16736.76308
423	16733.4657
424	16720.2315
425	16717.43036
426	16704.72833
427	16697.55033
428	16680.63091
429	16678.85521
430	16654.07313
431	16642.15066
432	16620.67179
433	16604.47284
434	16601.01779
435	16571.35447
436	16570.19721
437	16549.20456
438	16544.70415
439	16543.2154
440	16533.95313
441	16532.85971
442	16531.49141
443	16521.6912
444	16514.81676
445	16480.40216
446	16465.17211
447	16425.52803
448	16420.52443
449	16401.06106
450	16400.63364
451	16355.46133
452	16350.35496
453	16330.23317
454	16329.13385
455	16292.50282
456	16273.89938
457	16269.55211
458	16252.90352
459	16250.63593
460	16249.64874
461	16234.06236
462	16230.33611
463	16204.83891
464	16164.91421
465	16162.36476
466	16143.56681
467	16117.09723
468	16085.53214
469	16055.8823
470	16052.89915
471	16039.42888
472	16019.86521
473	16017.49379
474	15996.06523
475	15972.98903
476	15960.75622
477	15947.88705
478	15923.52533
479	15905.55239
480	15902.46811
481	15879.04911
482	15877.27647
483	15875.82992
484	15873.42347
485	15866.84324
486	15837.45045
487	15799.1614
488	15772.59003
489	15768.7143
490	15765.29274
491	15754.01969
492	15724.94955
493	15697.29057
494	15677.42842
495	15665.17212
496	15658.62371
