iter	Passed	Remaining
0	187	186860
1	235	117749
2	297	98753
3	333	83125
4	369	73600
5	412	68376
6	448	63690
7	495	61491
8	531	58537
9	590	58506
10	623	56075
11	686	56529
12	730	55490
13	810	57101
14	852	55972
15	931	57268
16	968	55996
17	1016	55468
18	1052	54341
19	1122	54981
20	1157	53959
21	1193	53059
22	1230	52254
23	1278	52001
24	1314	51259
25	1358	50892
26	1393	50222
27	1437	49918
28	1473	49344
29	1522	49237
30	1560	48765
31	1613	48805
32	1648	48307
33	1691	48061
34	1727	47633
35	1776	47570
36	1818	47327
37	1880	47613
38	1896	46733
39	1965	47163
40	1999	46775
41	2052	46821
42	2119	47172
43	2212	48077
44	2248	47721
45	2290	47512
46	2325	47155
47	2361	46844
48	2417	46912
49	2462	46792
50	2513	46778
51	2561	46704
52	2601	46481
53	2655	46520
54	2702	46442
55	2738	46160
56	2781	46010
57	2818	45776
58	2859	45612
59	2894	45348
60	2941	45275
61	2975	45020
62	3015	44856
63	3050	44614
64	3087	44418
65	3125	44225
66	3174	44200
67	3209	43982
68	3253	43903
69	3289	43698
70	3313	43350
71	3348	43163
72	3396	43135
73	3489	43662
74	3527	43501
75	3559	43270
76	3598	43130
77	3626	42869
78	3693	43064
79	3757	43215
80	3821	43359
81	3857	43185
82	3901	43101
83	3936	42925
84	3980	42851
85	4017	42693
86	4069	42703
87	4104	42535
88	4151	42496
89	4186	42333
90	4223	42190
91	4259	42040
92	4325	42184
93	4360	42031
94	4398	41904
95	4438	41799
96	4489	41796
97	4533	41729
98	4579	41682
99	4629	41669
100	4692	41769
101	4727	41622
102	4773	41568
103	4819	41522
104	4866	41483
105	4902	41345
106	4938	41218
107	4977	41113
108	5017	41012
109	5058	40929
110	5093	40791
111	5134	40711
112	5170	40583
113	5209	40487
114	5246	40372
115	5294	40344
116	5329	40221
117	5371	40148
118	5406	40027
119	5451	39979
120	5499	39947
121	5549	39935
122	5583	39808
123	5627	39754
124	5676	39733
125	5716	39651
126	5751	39533
127	5836	39759
128	5871	39642
129	5914	39583
130	5948	39462
131	6030	39653
132	6064	39536
133	6104	39452
134	6121	39220
135	6156	39109
136	6192	39008
137	6243	38996
138	6272	38855
139	6297	38681
140	6333	38582
141	6384	38574
142	6420	38476
143	6461	38409
144	6495	38302
145	6572	38445
146	6608	38349
147	6653	38300
148	6688	38199
149	6751	38258
150	6787	38162
151	6829	38103
152	6864	38000
153	6905	37934
154	6953	37909
155	7004	37894
156	7040	37801
157	7087	37769
158	7122	37673
159	7159	37588
160	7194	37493
161	7242	37466
162	7278	37374
163	7315	37291
164	7349	37191
165	7400	37180
166	7434	37083
167	7481	37049
168	7516	36958
169	7560	36914
170	7595	36821
171	7638	36773
172	7674	36687
173	7717	36636
174	7753	36553
175	7798	36511
176	7846	36482
177	7882	36399
178	7918	36317
179	7990	36401
180	8039	36378
181	8091	36368
182	8127	36283
183	8181	36281
184	8209	36166
185	8259	36148
186	8296	36071
187	8336	36004
188	8386	35987
189	8433	35951
190	8480	35921
191	8560	36025
192	8595	35941
193	8638	35889
194	8675	35812
195	8721	35777
196	8757	35698
197	8810	35686
198	8845	35604
199	8889	35558
200	8931	35501
201	8999	35553
202	9048	35525
203	9087	35458
204	9141	35451
205	9189	35421
206	9224	35338
207	9262	35269
208	9299	35197
209	9346	35160
210	9380	35077
211	9424	35032
212	9460	34955
213	9505	34914
214	9540	34835
215	9578	34767
216	9614	34690
217	9665	34671
218	9701	34598
219	9744	34549
220	9788	34501
221	9841	34488
222	9876	34413
223	9921	34369
224	9958	34302
225	9997	34240
226	10033	34165
227	10077	34123
228	10119	34070
229	10185	34099
230	10219	34021
231	10256	33952
232	10293	33884
233	10346	33868
234	10393	33834
235	10455	33847
236	10489	33770
237	10536	33734
238	10574	33670
239	10649	33723
240	10684	33649
241	10722	33583
242	10757	33511
243	10803	33471
244	10838	33400
245	10882	33355
246	10916	33280
247	10963	33244
248	11000	33179
249	11043	33131
250	11078	33057
251	11122	33013
252	11165	32965
253	11215	32941
254	11251	32872
255	11288	32807
256	11324	32738
257	11371	32705
258	11419	32671
259	11473	32654
260	11508	32584
261	11545	32521
262	11581	32454
263	11625	32411
264	11660	32342
265	11711	32316
266	11746	32248
267	11801	32235
268	11838	32170
269	11880	32122
270	11916	32055
271	11959	32009
272	11995	31944
273	12038	31898
274	12073	31830
275	12120	31793
276	12158	31734
277	12210	31712
278	12245	31644
279	12287	31595
280	12322	31528
281	12360	31470
282	12396	31406
283	12445	31377
284	12480	31311
285	12525	31270
286	12561	31206
287	12607	31168
288	12643	31106
289	12684	31055
290	12721	30993
291	12762	30943
292	12798	30882
293	12843	30842
294	12880	30782
295	12921	30732
296	12956	30668
297	12998	30620
298	13032	30554
299	13080	30521
300	13115	30458
301	13162	30420
302	13209	30385
303	13255	30347
304	13291	30287
305	13336	30246
306	13384	30212
307	13433	30181
308	13469	30120
309	13509	30069
310	13551	30023
311	13590	29969
312	13628	29912
313	13677	29881
314	13712	29819
315	13766	29798
316	13801	29736
317	13842	29686
318	13877	29625
319	13914	29569
320	13948	29505
321	13987	29451
322	14022	29390
323	14059	29335
324	14094	29272
325	14151	29258
326	14187	29199
327	14265	29226
328	14302	29169
329	14351	29137
330	14386	29077
331	14430	29034
332	14465	28975
333	14511	28935
334	14556	28896
335	14594	28842
336	14630	28783
337	14671	28736
338	14705	28674
339	14786	28702
340	14821	28643
341	14860	28590
342	14896	28533
343	14940	28491
344	14988	28456
345	15035	28419
346	15071	28361
347	15113	28316
348	15149	28258
349	15192	28214
350	15228	28156
351	15282	28133
